,Features,Coefs
0,Intercept,-1.0
1,WordFreqMake,-0.0
2,WordFreqAddress,-0.0
3,WordFreqAll,0.0
4,WordFreq3D,1.0
5,WordFreqOur,1.0
6,WordFreqOver,1.0
7,WordFreqRemove,2.0
8,WordFreqInternet,1.0
9,WordFreqOrder,1.0
10,WordFreqMail,0.0
11,WordFreqReceive,-0.0
12,WordFreqWill,-0.0
13,WordFreqPeople,0.0
14,WordFreqReport,0.0
15,WordFreqAddresses,1.0
16,WordFreqFree,1.0
17,WordFreqBusiness,1.0
18,WordFreqEmail,0.0
19,WordFreqYou,0.0
20,WordFreqCredit,1.0
21,WordFreqYour,0.0
22,WordFreqFont,0.0
23,WordFreq0,2.0
24,WordFreqMoney,0.0
25,WordFreqHP,-2.0
26,WordFreqHPL,-1.0
27,WordFreqGeorge,-8.0
28,WordFreq650,0.0
29,WordFreqLab,-1.0
30,WordFreqLabs,-0.0
31,WordFreqTelnet,-0.0
32,WordFreq857,0.0
33,WordFreqData,-1.0
34,WordFreq415,0.0
35,WordFreq85,-1.0
36,WordFreqTechnology,1.0
37,WordFreq1999,0.0
38,WordFreqParts,-0.0
39,WordFreqPM,-1.0
40,WordFreqDirect,-0.0
41,WordFreqCS,-3.0
42,WordFreqMeeting,-2.0
43,WordFreqOriginal,-1.0
44,WordFreqProject,-1.0
45,WordFreqRE,-1.0
46,WordFreqEDU,-1.0
47,WordFreqTable,-1.0
48,WordFreqConference,-2.0
49,CharFreqSemicolon,-1.0
50,CharFreqParentheses,-0.0
51,CharFreqBracket,-0.0
52,CharFreqExcalamationMark,0.0
53,CharFreqDollarSign,5.0
54,CharFreqPound,1.0
55,CapitalRunLengthAverage,-0.0
56,CapitalRunLengthLongest,0.0
57,CapitalRunLengthTotal,0.0
